ID;Nimi;Osoite;x;y
755;Kutsuntatie;Lintulaaksontie 2;24.824561;60.230453
757;Painiitty;Lotankatu 1;24.831397;60.235089
761;Mäkkylän asema;Perkkaantie 20;24.83939;60.220467
763;Kalkkipellonmäki;Turuntie 22;24.833536;60.220551
767;Ruutikatu;Ruutikatu 10;24.820635;60.223377
769;Tiurintie;Kurkijoentie 1;24.814562;60.204951
900;Orionintie;Orionintie 3-5;24.771826;60.180118
901;O'Bike Station;Rauhalanpuisto 11;24.742219;60.163412
902;Derby Business Park;Tarvonsalmenkatu 17;24.835356;60.209017
1;Kaivopuisto;Meritori 1;24.9502114714031;60.155369615074
2;Laivasillankatu;Laivasillankatu 14;24.9565097715858;60.1609890692806
3;Kapteeninpuistikko;Tehtaankatu 13;24.9450181631667;60.1581769029949
4;Viiskulma;Fredrikinkatu 19;24.9417758006418;60.1609858921764
5;Sepänkatu;Tehtaankatu 25;24.9362853002102;60.157948291819
6;Hietalahdentori;Hietalahdenkatu 2;24.9296476311878;60.1622283898112
7;Designmuseo;Korkeavuorenkatu 23;24.9459599998806;60.16310319166
8;Vanha kirkkopuisto;Annankatu 16;24.9391145483706;60.1653538465664
9;Erottajan aukio;Eteläesplanadi 22;24.9441887601673;60.1668948711694
10;Kasarmitori;Fabianinkatu 13;24.9494728793816;60.165017172741
11;Unioninkatu;Eteläesplanadi 1;24.9510226994024;60.1674572921424
12;Kanavaranta;Kanavaranta 1;24.9584922784237;60.1684959040351
13;Merisotilaantori;Merisotilaantori;24.9755284752387;60.1679190540567
14;Senaatintori;Aleksanterinkatu 22;24.9526414004662;60.1691277919118
15;Ritarikatu;Ritarikatu 7;24.9555218601895;60.1710906797301
16;Liisanpuistikko;Liisankatu 1;24.9613746997628;60.1741821916183
17;Varsapuistikko;Yrjö-Koskisen katu 1;24.9494967766807;60.1730909028646
18;Porthania;Yliopistonkatu 3;24.9493081473109;60.1696567475916
19;Rautatientori / itä;Rautatientori 1;24.9425267992462;60.1708235917114
20;Kaisaniemenpuisto;Bergbominkuja 1;24.9433556359399;60.1732349001278
21;Töölönlahdenkatu;Elielinaukio 5;24.9393079129956;60.1721906837527
22;Rautatientori / länsi;Kaivokatu 1;24.9397601000633;60.1706060919732
23;Kiasma;Mannerheiminaukio 1;24.9374279000749;60.1712578922641
24;Mannerheimintie;Mannerheiminitie 18;24.9394194995361;60.1690723919948
25;Narinkka;Narinkka 1;24.9346069826026;60.1700420279259
26;Kamppi (M);Fredrikinkatu 44;24.9305373005364;60.168609492141
27;Eerikinkatu;Eerikinkatu 3;24.9366415937527;60.1677057096398
28;Lastenlehto;Lapinrinne;24.9270362659605;60.1657993006509
29;Baana;Ruoholahdenkatu 23;24.9225706207902;60.1641173724871
30;Itämerentori;Itämerentori 1;24.9145164996449;60.1635308918594
31;Marian sairaala;Pohjoinen Rautatiekatu 33;24.9227415692015;60.1683228179992
32;Eläinmuseo;Pohjoinen Rautatiekatu 13;24.9318975121431;60.1713588986588
33;Kauppakorkeakoulu;Lapuankatu 1;24.923839759;60.171202903
34;Kansallismuseo;Mannerheimintie 30;24.9328983153441;60.173956898526
35;Cygnaeuksenkatu;Cygnaeuksenkatu 1;24.9282685568484;60.1741008716685
36;Apollonkatu;Runeberginkatu 43;24.9224632983339;60.1760927790452
37;Töölönkatu;Pohjoinen Hesperiankatu 3;24.9283525094474;60.1775346191328
38;Töölöntori;Töölöntorinkatu 11;24.9249700522851;60.1791005171717
39;Ooppera;Mannerheimintie 62;24.9266869997467;60.182552891987
40;Hakaniemi (M);John Stenberginranta 6;24.9522579797678;60.1780816347447
41;Ympyrätalo;Porthaninrinne 1;24.949399999845;60.1808629918822
42;Haapaniemenkatu;Haapaniemenkatu 2;24.9551952848707;60.1831601093456
43;Karhupuisto;Agricolankatu 11;24.9526762998375;60.18428329212
44;Sörnäinen (M);Vaasanpuistikko 1a;24.960554135;60.187712639
45;Brahen kenttä;Helsinginkatu 22;24.9508131529517;60.1867902883311
46;Diakoniapuisto;Josafatinkatu 12;24.9435409604638;60.1869040535812
47;Vanha Kauppahalli;Pakkahuoneenlaituri;24.9535685411145;60.1652833427097
48;Mastokatu;Mastokatu 2;24.9674668165293;60.1647464973781
49;Annankatu;Annankatu 5;24.9417379007102;60.1634749245163
50;Melkonkuja;Melkonkuja 1;24.8861093999757;60.1498126916296
51;Itälahdenkatu;Itälahdenkatu 15;24.8812501991249;60.1506599919369
52;Heikkilänaukio;Heikkilänaukio 1;24.879315899385;60.1540762917607
53;Heikkiläntie;Heikkiläntie 7;24.8850653001728;60.1568169919509
54;Gyldenintie;Gyldenintie 2;24.8766657996794;60.1583841916575
55;Puistokaari;Isokaari 30;24.8620200832623;60.1578749328793
56;Luoteisväylä;Luoteisväylä 17;24.8603118531172;60.1653590878524
57;Lauttasaaren ostoskeskus;Lauttasaarentie 26;24.8828103623042;60.1604153459526
58;Lauttasaarensilta;Lauttasaarentie 5;24.8899154000946;60.1611858173089
59;Salmisaarenranta;Salmisaarenranta 9;24.9009334858186;60.164784170294
60;Kaapelitehdas;Tammasaarenlaituri 7;24.90279681;60.161252848
61;Länsisatamankatu;Länsisatamankatu 19;24.9096920006591;60.158927591706
62;Välimerenkatu;Välimerenkatu 9;24.9162412896547;60.1592963414953
63;Jätkäsaarenlaituri;Jätkäsaarenlaituri 1;24.9214896008223;60.1619310923994
64;Tyynenmerenkatu;Rionkatu 6;24.9203435489542;60.1568077714966
65;Hernesaarenranta;Hylkeenpyytäjänkatu 1a;24.9311978237832;60.1535144787873
66;Ehrenströmintie;Ehrenströmintie 3;24.9592122677265;60.1552178275344
67;Perämiehenkatu;Punavuorenkatu 22;24.9340656851355;60.160087584362
68;Albertinkatu;Albertinkatu 17;24.9368050446952;60.1618574790512
69;Kalevankatu;Lapinlahdenkatu 1;24.9314215703651;60.1656801793916
70;Sammonpuistikko;Sammonkatu 3;24.9224112000483;60.1731472920894
71;Hietaniemenkatu;Hiekkarannantie 9;24.9076704246974;60.1733331469852
72;Eteläinen Hesperiankatu;Eteläinen Hesperiankatu 38;24.9155261617436;60.1755926611589
73;Kesäkatu;Kesäkatu 8;24.91325039954;60.1792966924742
74;Rajasaarentie;Rajasaarentie 6;24.9110579020192;60.1831258058734
75;Korjaamo;Töölönkatu 51a;24.919883700552;60.1838636970684
76;Olympiastadion;Toivonkatu 3;24.924961245284;60.1844935075188
77;Nordenskiöldinaukio;Linnankoskenkatu 15-17;24.9172924251712;60.1852461094041
78;Messeniuksenkatu;Messeniuksenkatu 1a;24.9180102002596;60.1878351921237
79;Uimastadion;Hammarskjöldintie 5;24.9292125301786;60.1892523422817
80;Jäähalli;Nordenskiöldinkatu 11;24.9204971353408;60.1893228039601
81;Stenbäckinkatu;Stenbäckinkatu 9;24.9123717007068;60.1883090916703
82;Töölöntulli;Mannerheimintie 112;24.912893019047;60.1909233737999
83;Meilahden sairaala;Haartmaninkatu 4;24.9083351006824;60.1902194919139
84;Paciuksenkatu;Mäntytie 2;24.8999261202594;60.1912061418589
85;Jalavatie;Jalavatie 10;24.9057885671904;60.1934470268502
86;Kuusitie;Mannerheimintie 152;24.9018996998812;60.1952451922329
87;Kustaankatu;Kustaankatu 4b;24.9559903941467;60.1882073042861
88;Kiskontie;Mannerheimintie 99;24.9012350212612;60.1990120683446
89;Tilkanvierto;Tilkankatu 41;24.8992505554038;60.1975748220279
90;Paciuksenkaari;Johannesbergintie 6;24.8911179001253;60.1944474917836
91;Seurasaari;Seurasaarentie 15;24.8847643214706;60.1884345423222
92;Saunalahdentie;Saunalahdentie 1;24.8791652000743;60.1926665197597
93;Torpanranta;Laajalahdentie 1;24.8713963007609;60.1948357920888
94;Laajalahden aukio;Munkkiniemen puistotie 21;24.8763012644261;60.1978706012264
95;Munkkiniemen aukio;Munkkiniemen puistotie 1;24.8840193884533;60.1967237851281
96;Huopalahdentie;Huopalahdentie 13;24.8835764865762;60.199732919393
98;Ulvilantie;Porintie 1;24.8708784784714;60.2038687140902
99;Muusantori;Muusantori 5;24.8559544008311;60.207119292
100;Teljäntie;Ulvilantie 21;24.8686567195812;60.209690428765
101;Munkkivuoren ostoskeskus;Huopalahdentie 20b;24.8798066035013;60.2059834138688
103;Vihdintie;Vihdintie 2;24.8895209008125;60.2089249922173
104;Kriikunakuja;Korppaanmäentie 26;24.8916816998729;60.2056784923064
105;Tilkantori;Tilkantori 3;24.8933660254613;60.2027828953059
106;Korppaanmäentie;Mannerheimintie 170;24.898929699376;60.2034734922503
107;Tenholantie;Kiskontie 22;24.9054367957033;60.202377405156
108;Radiokatu;Kuuluttajankatu 2;24.9182184498931;60.2050064264488
109;Hertanmäenkatu;Radiokuja 2;24.9223311437335;60.2026940388763
110;Maistraatintori;Pasilanraitio 10;24.9248733985577;60.1991509808314
111;Esterinportti;Pasilanraitio 5;24.9267808000548;60.1975723919044
112;Rautatieläisenkatu;Ratapihantie 13;24.9332721002285;60.2014381920031
113;Pasilan asema;Pasilan asema-aukio;24.932799079033;60.1982108580315
114;Ratapihantie;Ratapihantie 1;24.9366332542312;60.1964208157658
115;Venttiilikuja;Venttiilikuja  1 & 2;24.9415225602343;60.1941915204257
116;Linnanmäki;Viipurinkatu 20;24.9401592995968;60.1911410923558
117;Brahen puistikko;Sturenkatu 12;24.9481257001872;60.1896657985504
118;Fleminginkatu;Aleksis Kiven katu 30;24.952206700403;60.1895253157117
119;Gebhardinaukio;Teollisuuskatu 3;24.9550767908172;60.1911804709255
120;Mäkelänkatu;Mäkelänkatu 2;24.9633904702172;60.1896359907606
121;Vilhonvuorenkatu;Vilhonvuorenkatu 12;24.967854123638;60.1864553029206
122;Lintulahdenkatu;Lintulahdenkuja 6;24.962063375375;60.1836809119419
123;Näkinsilta;Sörnäisten rantatie 9;24.9554449266327;60.179750209022
124;Isoisänsilta;Capellan puistotie 2;24.9817926053222;60.1826518123339
125;Arielinkatu;Englantilaisaukio;24.9797385551711;60.1859217406831
126;Kalasatama (M);Hermannin rantatie 2b;24.977153892421;60.1875308427268
127;Teurastamo;Työpajankatu 2a;24.9711566503401;60.1896945837642
128;Päijänteentie;Päijänteentie 1;24.9642238002852;60.1920575919922
129;Pernajantie;Mäkelänkatu 25;24.9579782365195;60.1942276026523
130;Teollisuuskatu;Teollisuuskatu 16;24.9487523997729;60.1934740103444
131;Elimäenkatu;Elimäenkatu 24;24.9476290451587;60.1962195625714
132;Hollolantie;Hollolantie 2;24.9546058093258;60.1958861886173
133;Paavalinpuisto;Hämeentie 96;24.9614401060515;60.1974798068335
134;Haukilahdenkatu;Haukilahdenkatu 6;24.9676238234156;60.1985338962222
135;Velodrominrinne;Mäkelänkatu 70;24.9441912064593;60.2010022969661
136;Sofianlehdonkatu;Isonniitynkatu 7;24.9513635992833;60.2032720921502
137;Arabian kauppakeskus;Hämeentie 111;24.9665718240118;60.2027696318957
138;Arabiankatu;Arabiankatu 7;24.9770790121958;60.2064915569171
139;Muotoilijankatu;Arabiankatu 21;24.9797040460124;60.2097104145027
140;Verkatehtaanpuisto;Hämeentie 159;24.9797491905267;60.2136895158892
141;Intiankatu;Intiankatu 20;24.9676246411057;60.207840227695
142;Koskelantie;Sofianlehdonkatu 13;24.946677279;60.207839984
143;Kuikkarinne;Isokaari 10;24.8694297861453;60.1570959878378
144;Käpyläntie;Käpyläntie 1;24.9588108000086;60.2139042918024
145;Pohjolankatu;Pohjolankatu 1;24.9437964005667;60.2134209918355
146;Pohjolanaukio;Pohjolankatu 40;24.9543597785941;60.2171787502601
147;Käpylän asema;Panuntie 4;24.9479499152249;60.2208033078251
148;Juhana Herttuan tie;Antti Korpin tie 3a;24.9664522586218;60.2185249019981
149;Toinen linja;Toinen linja 25;24.9445685112105;60.1830009926511
150;Töölönlahden puisto;Karamzininranta 4;24.9350784201451;60.1748578219656
161;Eteläesplanadi;Eteläesplanadi 14;24.9471504600595;60.1671998456303
162;Leppäsuonaukio;Leppäsuonaukio 1;24.9265784464228;60.1695846151592
163;Lehtisaarentie;Liljasaarentie 1a;24.8505039451831;60.1819482497591
200;Länsiterminaali;Sammonlaituri;24.9152135431213;60.1504730320499
201;Länsisatamankuja;Länsisatamankatu 26;24.9120898275496;60.1569514968019
202;Merihaka;Hakaniemenranta 10;24.9585285446676;60.1780749105533
203;Opastinsilta;Opastinsilta 10;24.9381525773313;60.1992657652357
204;A.I. Virtasen aukio;Gustaf Hällströmin katu 1;24.9620788508104;60.2055418168461
205;Ilmalan asema;Ilmalantori 1;24.9222198886664;60.2066264297482
206;Ruskeasuon varikko;Mannerheimintie 117;24.8986678907757;60.2076799515229
207;Vanha Viertotie;Vanha Viertotie 23;24.8816602535719;60.2110752881999
208;Valimotie;Valimotie 1;24.8765290693421;60.2159693222985
209;Takomotie;Takomotie 29;24.8710464686467;60.2178996244041
210;Pajamäki;Pajamäentie 12;24.8556743832861;60.2188213176358
211;Haagan tori;Haagan tori 1;24.898930057033;60.2121115807155
212;Tunnelitie;Tunnelitie 3;24.8995694064157;60.2166149334764
213;Huopalahden asema;Huopalahden aseman itäinen raittisilta;24.8950577369046;60.2180961357994
214;Valimon asema;Valimopolku 3;24.8758443985049;60.2223022514537
215;Pitäjänmäen asema;Pitäjänmäentie 21;24.8586292857926;60.2243090934475
216;Jännetie;Konalantie 6;24.8535714902996;60.2267575847976
217;Marttila;Vihdintie 302;24.8732133049419;60.2271498086552
218;Pohjois-Haagan asema;Pennikuja 2;24.8830806372706;60.2300717042706
219;Näyttelijäntie;Kaupintie 3;24.887547040742;60.2328640962858
220;Ida Aalbergin tie;Näyttelijäntie 14;24.8952023541771;60.2295326765972
221;Thalianaukio;Aino Ackten tie 1;24.8947958642764;60.2253423108921
222;Huovitie;Huovitie 10;24.9032866466572;60.2219755272546
